Flag ID,Content URL,Platform,Content Type,Rule Name,Rule Version,Status,AI Ruling,AI Confidence,AI Reasoning,Content Source,Timestamp,Context Text,Mismatch,Band,Analyst Notes
0b710098-13cf-4da6-9265-4660eeed4c14,https://www.youtube.com/watch?v=2lPvOiLHoNQ,YOUTUBE,YouTube Video,Unknown Rule,,PENDING,violation,1.0,"The rule requires a disclaimer about advertising partnership with Chase, but the content is focused on Capital One credit cards. There is no mention of Chase, thus the rule is not applicable.",Caption/Description,,Advertiser Disclaimer:  Some of the card links and other products that appear on this website are from companies for which John Liang will earn an affiliate commission or referral bonus.,,1.00,Unknown Rule
f7eb9bea-a633-4981-a30a-e9b13c5d6120,https://www.youtube.com/watch?v=ASEQtEjoUMI,YOUTUBE,YouTube Video,Card Name Precision Rule,1.0,PENDING,compliant,0.93,"The first mention of the card is ""Chase Sapphire Reserve®"" in the product details.",Caption/Description,,"You are an AI assistant analyzing content for compliance with specific rules.
Analysis Type: Product Specific

This analysis is in the context of the product: ""Chase Sapphire Reserve®"" (ID: d2fd493a-0626-412f-a30e-c7555eca2a97).",,0.90-0.99,
933cf7df-05a7-46e7-bd05-c34df9c6200b,https://www.youtube.com/watch?v=r7lrUho9HRU,YOUTUBE,YouTube Video,Unknown Rule,,PENDING,violation,0.95,"The video description contains affiliate links and mentions compensation for sending traffic to partner sites. However, it does not explicitly mention an advertising partnership with Chase.",Caption/Description,,"Some of the card links and other products that appear on this website are from companies which Daniel Braun will earn an affiliate commission or referral bonus. Daniel Braun is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com.",,0.90-0.99,Unknown Rule
7e2ce559-1c6b-4aa8-86e3-aba72e52cff2,https://www.youtube.com/watch?v=nknv-yXwXOs,YOUTUBE,YouTube Video,Unknown Rule,,PENDING,compliant,0.95,"The image displays the United Explorer Card, and the description mentions ""This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as YourBestCreditCards.com, My Wealth Wallet, and others. This compensation may impact how and where links appear on this site."", covering the advertising partnership with Chase.",Image,,UNITED MileagePlus. EXPLORER,,0.90-0.99,Unknown Rule
4a284595-a21d-4f85-b9a4-9f60178a725f,https://www.youtube.com/watch?v=-bs_y16kTNo,YOUTUBE,YouTube Video,Card Name Precision Rule,1.0,PENDING,compliant,0.93,The first mention of the Chase Sapphire Reserve card in the transcript includes the full card name.,Caption/Description,,"The Chase Sapphire Reserve, which is my daily driver, mainly for dining purchases, as well as the Chase Inc.",,0.90-0.99,
c86392be-e17d-455f-bad0-1fe843e662cb,https://www.youtube.com/watch?v=BY1JjuZC840,YOUTUBE,YouTube Video,Unknown Rule,,PENDING,violation,0.95,"The image features an Amex card. The ""Advertising Partner Disclosure Rule"" requires a disclaimer about advertising partnership with Chase. No disclaimer is present in the image.",Image,,AMEX,,0.90-0.99,Unknown Rule
01b30d57-6ffb-41fb-9fbd-d69f37b84348,https://www.instagram.com/p/CuUzKRBReB3/,instagram,Sidecar,Card Name Precision Rule,1.0,PENDING,violation,0.9,"The image lists ""CSP"" as one of the cards used. The first mention of the card should be ""Chase Sapphire Reserve®"".",Image,,CSP,,0.90-0.99,
7a7aef07-92f5-43b7-85f3-ef66884dbc08,https://www.instagram.com/p/CsEkskvxKVO/,instagram,Image,Card Name Precision Rule,1.0,PENDING,compliant,0.93,"The first mention of the card is ""Sierra from @highsierrapoints Sierra is an aerospace engineer, points/miles enthusiast, and avid traveler."" The card name is not mentioned in this section so the rule is not triggered.",Caption/Description,,"Announcing Sierra from @highsierrapoints Sierra is an aerospace engineer, points/miles enthusiast, and avid traveler. She got into travel hacking for the same reason that most people do - to travel with champagne taste on a beer budget!",,0.90-0.99,
e37eb7b6-01c3-467e-94b7-ae31d9a6c665,https://www.youtube.com/watch?v=1fvXQre7Mo8,YOUTUBE,YouTube Video,Unknown Rule,,PENDING,compliant,0.95,"The description caption includes a disclaimer: ""Some of the card links and other products that appear on this website are from companies for which John Liang will earn an affiliate commission or referral bonus."" This statement clearly discloses the advertising partnership with Chase, satisfying the requirement.",Caption/Description,,Advertiser Disclaimer:  Some of the card links and other products that appear on this website are from companies for which John Liang will earn an affiliate commission or referral bonus.,,0.90-0.99,Unknown Rule
c865d85c-e0b2-4065-9885-73215fee7024,https://www.youtube.com/watch?v=ax-Z8Mo9bA0,YOUTUBE,YouTube Video,Unknown Rule,,PENDING,violation,0.95,"The description mentions SoFi Checking & Savings and My Top Credit Cards with affiliate links. The ""Advertising Partner Disclosure Rule"" requires a disclaimer about advertising partnerships. The current disclaimer only mentions Daniel Braun earning an affiliate commission or referral bonus from companies such as CreditCards.com, but does not include Chase. Therefore, a violation is present.",Caption/Description,,"Some of the card links and other products that appear on this website are from companies which Daniel Braun will earn an affiliate commission or referral bonus. Daniel Braun is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com.",,0.90-0.99,Unknown Rule
6f6847db-4789-47ef-8e03-8a95f88490b1,https://www.youtube.com/watch?v=BY1JjuZC840,YOUTUBE,YouTube Video,Unknown Rule,,PENDING,violation,0.93,"The description contains links to Chase cards, indicating an advertising partnership. However, there is no explicit disclaimer about an advertising partnership with Chase.",Caption/Description,,💳 Chase Cards: https://spencerjohnsoncards.com/chase,,0.90-0.99,Unknown Rule
ab66058b-48dc-4791-bd44-da7362dd561c,https://www.youtube.com/shorts/gFoHTpsVeHQ,YOUTUBE_SHORTS,YouTube Short,Card Name Precision Rule,1.0,PENDING,violation,0.93,"The title mentions ""credit card points"" but does not include the full card name ""Chase Sapphire Preferred® Card"" with trademark.",Caption/Description,,✌️Double discounted flights to Europe with credit card points,,0.90-0.99,
503c294f-f87b-47f0-94c7-74a27c3845d2,https://www.youtube.com/watch?v=J2m_o6GOaRQ,YOUTUBE,YouTube Video,Unknown Rule,,PENDING,violation,0.93,"The description contains affiliate links and an affiliate disclaimer regarding card links. The rule requires a disclaimer about advertising partnership with Chase specifically. Since there is no mention of a partnership with Chase, the rule is violated. Baseline confidence score: 0.93",Caption/Description,,Advertiser Disclaimer:  Some of the card links and other products that appear on this website are from companies for which John Liang will earn an affiliate commission or referral bonus.,,0.90-0.99,Unknown Rule
945643dc-74e1-4aa1-8b08-aa52d42b0331,https://www.youtube.com/watch?v=LGUzZ1nY-yo,YOUTUBE,YouTube Video,Unknown Rule,,PENDING,compliant,0.93,"The description includes a disclaimer stating ""This site is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as YourBestCreditCards.com, My Wealth Wallet, and others. This compensation may impact how and where links appear on this site."" which indicates an advertising partnership.",Caption/Description,,"Click “Show More” to see Ad Disclosure.

Are you tired of earning points slowly, or never having enough for your vacation?",,0.90-0.99,Unknown Rule
ca502d12-e19d-44f8-835f-8c3cde21f91c,https://www.youtube.com/watch?v=ax-Z8Mo9bA0,YOUTUBE,YouTube Video,Card Name Precision Rule,1.0,PENDING,compliant,0.93,"The first mention of the product would require the full card name, but the product name is not mentioned in the description. Therefore, the rule is not violated. Baseline confidence score.",Caption/Description,,"Buy Now, Pay Later is Getting Out of Control\n--- DESCRIPTION_CAPTION START ---\nBuy Now, Pay Later usage has been increasing A TON over the past few years.",,0.90-0.99,
c8659c65-4924-42c9-a2db-16095033cbde,https://www.youtube.com/watch?v=ax-Z8Mo9bA0,YOUTUBE,YouTube Video,Card Name Precision Rule,1.0,PENDING,compliant,0.93,"The first mention of the product would require the full card name, but the product name is not mentioned in the title. Therefore, the rule is not violated. Baseline confidence score.",Caption/Description,,"Buy Now, Pay Later is Getting Out of Control",,0.90-0.99,
5399158b-1ebc-445d-803c-cb5b9fd2fe39,https://www.youtube.com/watch?v=fUujZ7KCnVM,YOUTUBE,YouTube Video,Unknown Rule,,PENDING,compliant,0.95,"The description caption explicitly states ""Aven sponsored this video and provided compensation in exchange for the reviewer’s truthful opinion,"" which clearly discloses the advertising partnership with Aven.",Caption/Description,,Aven sponsored this video and provided compensation in exchange for the reviewer’s truthful opinion.,,0.90-0.99,Unknown Rule
208c154b-0c6f-4409-a799-3057cb0ea859,https://www.tiktok.com/@dinkswithadog/video/7493366856812645663,tiktok,TikTok Video,Card Name Precision Rule,1.0,PENDING,compliant,0.93,"The first mention of the card is ""chase sapphire preferred"" which satisfies the card name precision rule.",Caption/Description,,Here are the top three ways I’d use my chase sapphire preferred signup bonus. Come back tomorrow for another sign up bonus no one is talking about #chasesapphirepreferred #chasesapphire #chase #creditcards #freetravel,,0.90-0.99,
ef708179-9d01-46b3-8b8b-2b1cfd3a191c,https://www.youtube.com/shorts/cJoqHLOQ6RI,YOUTUBE_SHORTS,YouTube Short,Card Name Precision Rule,1.0,PENDING,compliant,1.0,The title does not mention the Chase Ink Business Preferred® Credit Card.,Caption/Description,,Stack for 10 free meals and $50 cash back (Amex + Rakuten),,1.00,
63554e08-f4aa-40fe-abda-f6fecb40eeff,https://www.tiktok.com/@dinkswithadog/video/7493366856812645663,tiktok,TikTok Video,Card Name Precision Rule,1.0,PENDING,compliant,1.0,"The rule requires the first mention of the card to be the full card name with trademark symbol, but the card mentioned is Chase Sapphire Preferred, not Chase Sapphire Reserve.",Caption/Description,,Here are the top three ways I’d use my chase sapphire preferred signup bonus. Come back tomorrow for another sign up bonus no one is talking about #chasesapphirepreferred #chasesapphire #chase #creditcards #freetravel,,1.00,
6b168b1a-8077-46cd-aee6-631bec9e8327,https://www.tiktok.com/@dinkswithadog/video/7493366856812645663,tiktok,TikTok Video,Welcome Offer Accuracy Rule,1.0,PENDING,compliant,1.0,"The rule is about welcome offer accuracy and completeness. However, the content is talking about Chase Sapphire Preferred's signup bonus.",Caption/Description,,Here are the top three ways I’d use my chase sapphire preferred signup bonus. Come back tomorrow for another sign up bonus no one is talking about #chasesapphirepreferred #chasesapphire #chase #creditcards #freetravel,,1.00,
4cade243-7cff-477c-ad09-3b469099d4b4,https://www.tiktok.com/@dinkswithadog/video/7493366856812645663,tiktok,TikTok Video,Marketing Bullet Verbatim Rule,1.0,PENDING,compliant,1.0,"The rule requires the marketing bullets to be stated verbatim, but the content is talking about signup bonus, not marketing bullets of chase sapphire reserve.",Caption/Description,,Here are the top three ways I’d use my chase sapphire preferred signup bonus. Come back tomorrow for another sign up bonus no one is talking about #chasesapphirepreferred #chasesapphire #chase #creditcards #freetravel,,1.00,
bcc52695-e79f-4b2d-8c69-5ded3eab0481,https://www.tiktok.com/@dinkswithadog/video/7493366856812645663,tiktok,TikTok Video,Annual Fee Transparency Rule,1.0,PENDING,compliant,1.0,"The rule requires the annual fee to be stated when mentioned, but the content is talking about signup bonus, not annual fee of chase sapphire reserve.",Caption/Description,,Here are the top three ways I’d use my chase sapphire preferred signup bonus. Come back tomorrow for another sign up bonus no one is talking about #chasesapphirepreferred #chasesapphire #chase #creditcards #freetravel,,1.00,
a249cf8e-727b-4610-8f7e-31871cd56ce3,https://www.youtube.com/watch?v=WoyZyz2yUeE,YOUTUBE,YouTube Video,Unknown Rule,,PENDING,compliant,1.0,"The provided disclaimer in the description covers advertising partnerships and mentions Daniel Braun is part of an affiliate sales network and receives compensation for sending traffic to partner sites, such as CreditCards.com. The image does not need the disclaimer because there is an adequate disclaimer in the description.",Image,,,,1.00,Unknown Rule
6087081f-44c6-423c-a5a5-3f148c64d085,https://www.youtube.com/watch?v=WoyZyz2yUeE,YOUTUBE,YouTube Video,Card Name Precision Rule,1.0,PENDING,compliant,0.93,"The first mention of the card includes the full name ""Chase Sapphire Preferred"" so the card name precision rule is met.",Caption/Description,,"""Starting with the first offer here, which is the 100,000 point signup bonus on the Chase Sapphire Preferred.""",,0.90-0.99,
bb9e230a-02db-44c2-9eab-81f11a8d3de3,https://www.instagram.com/p/CuUzKRBReB3/,instagram,Sidecar,Card Name Precision Rule,1.0,PENDING,violation,0.93,"The first mention of the card name is not the full name with trademark symbols. The caption mentions ""what cards I used"" but doesn't mention ""Chase Sapphire Preferred® Card"" with the trademark symbol.",Caption/Description,,"Scroll through to see what cards I used, how and where we booked our flights and hotels, and the final totals!",,0.90-0.99,
0ad7e865-602a-414e-8333-6541fca2ab31,https://www.tiktok.com/@dinkswithadog/video/7491522593493880110,tiktok,TikTok Video,Card Name Precision Rule,1.0,PENDING,compliant,0.93,"The first mention of the card is ""CHASE sapphire preferred offer"" which satisfies the rule requiring the full card name with trademark symbols on the first mention.",Caption/Description,,"The CHASE sapphire preferred offer is the best that I’ve seen right now, and even better, it’s been added to refer a friend.",,0.90-0.99,
225d32f2-aab0-4256-82fe-d4853f87ef2d,https://www.tiktok.com/@dinkswithadog/video/7491522593493880110,tiktok,TikTok Video,Welcome Offer Accuracy Rule,1.0,PENDING,violation,0.9,"The description mentions ""chance to get 100k MORE points"" which is a welcome offer. However, it does not include the spending requirement and timeline. Therefore, it violates the Welcome Offer Accuracy Rule.",Caption/Description,,Watch this video for the chance to get 100k MORE points even if you already have the card #csp #chase #awardtravel #milesandpoints,,0.90-0.99,
cf89b8ce-f3fb-476d-a3ff-b84be18c77e2,https://www.youtube.com/watch?v=1fvXQre7Mo8,YOUTUBE,YouTube Video,Welcome Offer Accuracy Rule,1.0,PENDING,violation,0.95,"The image and title mention ""100,000 Point Chase Bonus"" but the spending requirement and timeline is not provided.",Image,,"SAPPHIRE PREFERRED, HUGE BONUS!",,0.90-0.99,
7964b7c7-92cc-46b3-bea2-5711d15b1318,https://www.youtube.com/watch?v=1fvXQre7Mo8,YOUTUBE,YouTube Video,Card Name Precision Rule,1.0,PENDING,violation,0.95,"The title is ""Finally! 100,000 Point Chase Bonus is BACK!"" The first mention of the card should be ""Chase Sapphire Preferred® Card"" and not just ""Chase"".",Image,,"Finally! 100,000 Point Chase Bonus is BACK!",,0.90-0.99,
96936be2-0e17-4076-b533-415c4170b0c0,https://www.instagram.com/p/CsEkskvxKVO/,instagram,Image,Card Name Precision Rule,1.0,PENDING,violation,0.93,"The rule requires the first mention of the card to be the full name with trademark symbol. The full card name ""Chase Ink Business Preferred® Credit Card"" is not mentioned in the description.",Caption/Description,,"Announcing Sierra from @highsierrapoints Sierra is an aerospace engineer, points/miles enthusiast, and avid traveler. She got into travel hacking for the same reason that most people do - to travel with champagne taste on a beer budget!",,0.90-0.99,
869d455e-a197-43f5-81c5-cde738001b79,https://www.youtube.com/watch?v=LGUzZ1nY-yo,YOUTUBE,YouTube Video,Unknown Rule,,PENDING,violation,0.9,"The image promotes several Chase cards, including Chase Sapphire Preferred and Chase Sapphire Reserve. The advertiser disclosure in the description states that the site is part of an affiliate sales network and receives compensation for sending traffic to partner sites. However, there is no visible disclaimer about advertising partnership with Chase in the image.",Image,,"Chase Sapphire Preferred®, Available points, SAPPHIRE RESERVE, freedom UNLIMITE, Jom FLEX.",,0.90-0.99,Unknown Rule
975f38db-a077-4d73-b9ae-a3298a3d7f4d,https://www.youtube.com/watch?v=1fvXQre7Mo8,YOUTUBE,YouTube Video,Unknown Rule,,PENDING,violation,0.95,"The image features the Chase Sapphire Preferred card, implying an advertisement for the card. The title mentions a ""100,000 Point Chase Bonus,"" and the image shows the card art. However, there is no visible disclaimer in the image itself about an advertising partnership with Chase.",Image,,SAPPHIRE PREFERRED,,0.90-0.99,Unknown Rule
